Year,State,Age Group,Total ('000),Male ('000),Female ('000)
2012,Negeri Sembilan,60 - 64,37.3,19,18.3
2012,Negeri Sembilan,65 - 69,24.2,12,12.3
2012,Negeri Sembilan,70 - 74,17.7,8.5,9.3
2012,Negeri Sembilan,75 - 79,11.7,5.6,6.1
2012,Negeri Sembilan,80 - 84,6.1,2.8,3.3
2012,Negeri Sembilan,85+,4,1.6,2.4
2012,Pahang,0 - 4,142.7,74.1,68.5
2012,Pahang,5 - 9,146.8,77.8,69
2012,Pahang,10 - 14,151.8,79.2,72.5
2012,Pahang,15 - 19,162.5,86.5,76
2012,Pahang,20 - 24,149.8,83.8,66.1
2012,Pahang,25 - 29,144.6,82.9,61.6
2012,Pahang,30 - 34,117.2,66.1,51.1
2012,Pahang,35 - 39,91.9,50,41.9
2012,Pahang,40 - 44,85.1,44,41.1
2012,Pahang,45 - 49,82,41.7,40.2
2012,Pahang,50 - 54,76.4,38.3,38.1
2012,Pahang,55 - 59,62.1,31.5,30.6
2012,Pahang,60 - 64,50.5,25.8,24.7
2012,Pahang,65 - 69,33.7,17.5,16.2
2012,Pahang,70 - 74,23.3,11.9,11.4
2012,Pahang,75 - 79,14,6.9,7
2012,Pahang,80 - 84,6.8,3.2,3.6
2012,Pahang,85+,5.9,2.8,3.2
2012,Penang,0 - 4,112.7,58.1,54.6
2012,Penang,5 - 9,118.2,60.7,57.6
2012,Penang,10 - 14,125.4,63.2,62.2
2012,Penang,15 - 19,138.7,69.7,68.9
2012,Penang,20 - 24,156.5,75.7,80.8
2012,Penang,25 - 29,160.9,81.6,79.3
2012,Penang,30 - 34,136.6,69.8,66.8
2012,Penang,35 - 39,121.1,61.6,59.5
2012,Penang,40 - 44,112.5,56.3,56.2
2012,Penang,45 - 49,101.5,50.9,50.6
2012,Penang,50 - 54,89.6,45.4,44.2
2012,Penang,55 - 59,76,37.6,38.4
2012,Penang,60 - 64,63,31.3,31.7
2012,Penang,65 - 69,44,21.4,22.5
2012,Penang,70 - 74,30.6,14.6,15.9
2012,Penang,75 - 79,18.7,8.8,9.9
2012,Penang,80 - 84,10,4.3,5.7
2012,Penang,85+,7.4,2.9,4.5
2012,Perak,0 - 4,181.1,93.7,87.4
2012,Perak,5 - 9,207.7,104.4,103.3
2012,Perak,10 - 14,235.6,118.2,117.4
2012,Perak,15 - 19,246.5,122.5,124
2012,Perak,20 - 24,234.1,122.8,111.4
2012,Perak,25 - 29,181,96.3,84.7
2012,Perak,30 - 34,147.3,77.5,69.8
2012,Perak,35 - 39,139.9,72,68
2012,Perak,40 - 44,143.8,71.4,72.3
2012,Perak,45 - 49,145.7,72.9,72.8
2012,Perak,50 - 54,139.4,70.3,69.1
2012,Perak,55 - 59,122.1,61.3,60.8
2012,Perak,60 - 64,104.1,51.3,52.8
2012,Perak,65 - 69,74,36.4,37.5
2012,Perak,70 - 74,55.4,26.6,28.8
2012,Perak,75 - 79,38,17.2,20.8
2012,Perak,80 - 84,19.1,8.6,10.5
2012,Perak,85+,12.2,5.5,6.7
2012,Perlis,0 - 4,20.7,10.6,10.1
2012,Perlis,5 - 9,19.7,10.1,9.6
2012,Perlis,10 - 14,20.6,10.5,10.1
2012,Perlis,15 - 19,29,14.1,15
2012,Perlis,20 - 24,26,13.7,12.3
2012,Perlis,25 - 29,18.5,9.7,8.8
2012,Perlis,30 - 34,13.8,6.8,7
2012,Perlis,35 - 39,11.8,5.6,6.2
2012,Perlis,40 - 44,13.2,6.2,7
2012,Perlis,45 - 49,14,6.8,7.3
2012,Perlis,50 - 54,13.1,6.4,6.8
2012,Perlis,55 - 59,11.4,5.5,5.9
2012,Perlis,60 - 64,9.3,4.5,4.8
2012,Perlis,65 - 69,6.6,3.3,3.4
2012,Perlis,70 - 74,5,2.4,2.6
2012,Perlis,75 - 79,3.2,1.4,1.8
2012,Perlis,80 - 84,1.8,0.7,1.1
2012,Perlis,85+,1.4,0.5,0.8
2012,Selangor,0 - 4,486.4,251.8,234.6
2012,Selangor,5 - 9,471.4,240.9,230.5
2012,Selangor,10 - 14,449.4,230.1,219.3
2012,Selangor,15 - 19,435.3,221.8,213.4
2012,Selangor,20 - 24,612.1,313,299.1
2012,Selangor,25 - 29,696.4,366.5,329.9
2012,Selangor,30 - 34,568.2,301.7,266.6
2012,Selangor,35 - 39,453.8,240.4,213.5
2012,Selangor,40 - 44,382.6,200.2,182.4
2012,Selangor,45 - 49,319.8,169.3,150.5
2012,Selangor,50 - 54,260,138.2,121.8
2012,Selangor,55 - 59,194.3,102.1,92.2
2012,Selangor,60 - 64,150,75.1,74.9
2012,Selangor,65 - 69,94.6,46.8,47.8
2012,Selangor,70 - 74,57.9,28.9,29
2012,Selangor,75 - 79,35,16.7,18.4
2012,Selangor,80 - 84,18.6,8.3,10.3
2012,Selangor,85+,16.4,7.3,9.2
2012,Terengganu,0 - 4,118.9,61.2,57.7
2012,Terengganu,5 - 9,114,58.9,55.2
2012,Terengganu,10 - 14,119.7,61.5,58.2
2012,Terengganu,15 - 19,122.2,62.6,59.6
2012,Terengganu,20 - 24,113.3,58.9,54.4
2012,Terengganu,25 - 29,87.8,47.2,40.5
2012,Terengganu,30 - 34,67.4,35.9,31.6
2012,Terengganu,35 - 39,59.6,29.8,29.8
2012,Terengganu,40 - 44,57.8,28.2,29.6
2012,Terengganu,45 - 49,57.1,27.9,29.2
2012,Terengganu,50 - 54,52,26,26
2012,Terengganu,55 - 59,40.4,20.4,20
2012,Terengganu,60 - 64,29.9,15.4,14.5
2012,Terengganu,65 - 69,21.2,10.4,10.9
2012,Terengganu,70 - 74,15.5,7.2,8.2
2012,Terengganu,75 - 79,8.5,3.9,4.5
2012,Terengganu,80 - 84,4.5,2,2.5
2012,Terengganu,85+,4.3,1.8,2.6
2012,Sabah,0 - 4,305.7,156.5,149.2
2012,Sabah,5 - 9,311.5,160.2,151.3
2012,Sabah,10 - 14,304.1,155.1,149
2012,Sabah,15 - 19,410.5,214.4,196.1
2012,Sabah,20 - 24,413.8,211.8,202
2012,Sabah,25 - 29,420.4,219,201.5
2012,Sabah,30 - 34,298.4,160.2,138.2
2012,Sabah,35 - 39,232.8,122.6,110.2
2012,Sabah,40 - 44,195.5,103.2,92.3
2012,Sabah,45 - 49,161.4,87.1,74.3
2012,Sabah,50 - 54,130.2,71.3,59
2012,Sabah,55 - 59,89.7,48.5,41.2
2012,Sabah,60 - 64,56.2,29.9,26.3
2012,Sabah,65 - 69,40.3,20.5,19.8
2012,Sabah,70 - 74,28.3,14.4,13.9
2012,Sabah,75 - 79,17.3,8.5,8.7
2012,Sabah,80 - 84,9.6,4.8,4.8
2012,Sabah,85+,7.1,3.4,3.6
2012,Sarawak,0 - 4,219.2,111.6,107.5
2012,Sarawak,5 - 9,242.6,121.9,120.7
2012,Sarawak,10 - 14,248.9,126.4,122.5
2012,Sarawak,15 - 19,253.5,130.2,123.3
2012,Sarawak,20 - 24,252.9,131,121.9
2012,Sarawak,25 - 29,226.2,120.3,106
2012,Sarawak,30 - 34,181.6,96,85.6
2012,Sarawak,35 - 39,170.2,88.7,81.5
2012,Sarawak,40 - 44,164.2,86.4,77.7
2012,Sarawak,45 - 49,148.5,79.1,69.3
2012,Sarawak,50 - 54,127.7,67.8,59.9
2012,Sarawak,55 - 59,104.7,55.8,48.9
2012,Sarawak,60 - 64,78.3,40.7,37.7
2012,Sarawak,65 - 69,57.8,30.1,27.7
2012,Sarawak,70 - 74,38.9,19.4,19.5
2012,Sarawak,75 - 79,26.2,12.8,13.4
2012,Sarawak,80 - 84,16,7,9
2012,Sarawak,85+,12.4,5.9,6.5
2012,W.P. Kuala Lumpur,0 - 4,124.4,63.8,60.7
2012,W.P. Kuala Lumpur,5 - 9,123.5,64.3,59.2
2012,W.P. Kuala Lumpur,10 - 14,117,59.7,57.3
2012,W.P. Kuala Lumpur,15 - 19,129.9,65.5,64.4
2012,W.P. Kuala Lumpur,20 - 24,175.5,87.2,88.3
2012,W.P. Kuala Lumpur,25 - 29,194.5,96.8,97.7
2012,W.P. Kuala Lumpur,30 - 34,171.8,89.1,82.7
2012,W.P. Kuala Lumpur,35 - 39,133.9,71.9,62
2012,W.P. Kuala Lumpur,40 - 44,118.9,56.1,62.8
2012,W.P. Kuala Lumpur,45 - 49,110.2,56,54.2
2012,W.P. Kuala Lumpur,50 - 54,91.4,49.2,42.2
2012,W.P. Kuala Lumpur,55 - 59,70.9,36.8,34.1
2012,W.P. Kuala Lumpur,60 - 64,53.8,28.1,25.7
2012,W.P. Kuala Lumpur,65 - 69,36.1,18.1,18
2012,W.P. Kuala Lumpur,70 - 74,23.6,12.2,11.4
2012,W.P. Kuala Lumpur,75 - 79,13.9,7.1,6.8
2012,W.P. Kuala Lumpur,80 - 84,7.5,3.6,3.9
2012,W.P. Kuala Lumpur,85+,5.3,2.4,2.9
2012,W.P. Labuan,0 - 4,9.3,4.8,4.5
2012,W.P. Labuan,5 - 9,9,4.7,4.3
2012,W.P. Labuan,10 - 14,8,4,4
2012,W.P. Labuan,15 - 19,8.2,3.9,4.3
2012,W.P. Labuan,20 - 24,8.8,4.2,4.6
2012,W.P. Labuan,25 - 29,11.6,6,5.7
2012,W.P. Labuan,30 - 34,8.8,4.6,4.3
2012,W.P. Labuan,35 - 39,5.9,2.9,3
2012,W.P. Labuan,40 - 44,5.4,2.7,2.7
2012,W.P. Labuan,45 - 49,4.8,2.5,2.3
2012,W.P. Labuan,50 - 54,3.9,2.2,1.7
2012,W.P. Labuan,55 - 59,2.7,1.5,1.2
2012,W.P. Labuan,60 - 64,1.7,0.9,0.8
2012,W.P. Labuan,65 - 69,1,0.5,0.5
2012,W.P. Labuan,70 - 74,0.6,0.3,0.3
2012,W.P. Labuan,75 - 79,0.3,0.2,0.2
2012,W.P. Labuan,80 - 84,0.2,0.1,0.1
2012,W.P. Labuan,85+,0.2,0.1,0.1
2012,W.P. Putrajaya,0 - 4,13.4,6.9,6.6
2012,W.P. Putrajaya,5 - 9,7.7,3.9,3.9
2012,W.P. Putrajaya,10 - 14,5.7,2.7,2.9
2012,W.P. Putrajaya,15 - 19,3.7,2,1.7
2012,W.P. Putrajaya,20 - 24,5.3,2,3.3
2012,W.P. Putrajaya,25 - 29,13.1,5,8
2012,W.P. Putrajaya,30 - 34,11.4,5.1,6.3
2012,W.P. Putrajaya,35 - 39,5.3,2.8,2.5
2012,W.P. Putrajaya,40 - 44,3.4,1.6,1.8
2012,W.P. Putrajaya,45 - 49,3,1.6,1.5
2012,W.P. Putrajaya,50 - 54,3,1.6,1.5
2012,W.P. Putrajaya,55 - 59,1.9,1,0.9
2012,W.P. Putrajaya,60 - 64,0.7,0.4,0.3
2012,W.P. Putrajaya,65 - 69,0.2,0.1,0.1
2012,W.P. Putrajaya,70 - 74,0.1,0.1,0.1
2012,W.P. Putrajaya,75 - 79,0.1,0,0.1
2012,W.P. Putrajaya,80 - 84,0.1,0,0
2012,W.P. Putrajaya,85+,0.1,0,0
